an	9,537,645	0.1 %	139,960
95	Belarus	9,449,323	0.1 %	202,910
96	Austria	9,006,398	0.1 %	82,409
97	Papua New Guinea	8,947,024	0.1 %	452,860
98	Serbia	8,737,371	0.1 %	87,460
99	Israel	8,655,535	0.1 %	21,640
100	Switzerland	8,654,622	0.1 %	39,516
101	Togo	8,278,724	0.1 %	54,390
102	Sierra Leone	7,976,983	0.1 %	72,180
103	Laos	7,275,560	0.1 %	230,800
104	Paraguay	7,132,538	0.1 %	397,300
105	Bulgaria	6,948,445	0.1 %	108,560
106	Libya	6,871,292	0.1 %	1,759,540
107	Lebanon	6,825,445	0.1 %	10,230
108	Nicaragua	6,624,554	0.1 %	120,340
109	Kyrgyzstan	6,524,195	0.1 %	191,800
110	El Salvador	6,486,205	0.1 %	20,720
111	Turkmenistan	6,031,200	0.1 %	469,930
112	Singapore	5,850,342	0.1 %	700
113	Denmark	5,792,202	0.1 %	42,430
114	Finland	5,540,720	0.1 %	303,890
115	Congo	5,518,087	0.1 %	341,500
116	Slovakia	5,459,642	0.1 %	48,088
117	Norway	5,421,241	0.1 %	365,268
118	Oman	5,106,626	0.1 %	309,500
119	State of Palestine	5,101,414	0.1 %	6,020
120	Costa Rica	5,094,118	0.1 %	51,060
121	Liberia	5,057,681	0.1 %	96,320
122	Ireland	4,937,786	0.1 %	68,890
123	Central African Republic	4,829,767	0.1 %	622,980
124	New Zealand	4,822,233	0.1 %	263,310
125	Mauritania	4,649,658	0.1 %	1,030,700
126	Panama	4,314,767	0.1 %	74,340
127	Kuwait	4,270,571	0.1 %	17,820
128	Croatia	4,105,267	0.1 %	55,960
129	Moldova	4,033,963	0.1 %	32,850
130	Georgia	3,989,167	0.1 %	69,490
131	Eritrea	3,546,421	0 %	101,000
132	Uruguay	3,473,730	0 %	175,020
133	Bosnia and Herzegovina	3,280,819	0 %	51,000
134	Mongolia	3,278,290	0 %	1,553,560
135	Armenia	2,963,243	0 %	28,470
136	Jamaica	2,961,167	0 %	10,830
137	Qatar	2,881,053	0 %	11,610
138	Albania	2,877,797	0 %	27,400
139	Lithuania	2,722,289	0 %	62,674
140	Namibia	2,540,905	0 %	823,290
141	Gambia	2,416,668	0 %	10,120