1	China	1,439,323,776	18.5 %	9,388,211
2	India	1,380,004,385	17.7 %	2,973,190
3	United States	331,002,651	4.2 %	9,147,420
4	Indonesia	273,523,615	3.5 %	1,811,570
5	Pakistan	220,892,340	2.8 %	770,880
6	Brazil	212,559,417	2.7 %	8,358,140
7	Nigeria	206,139,589	2.6 %	910,770
8	Bangladesh	164,689,383	2.1 %	130,170
9	Russia	145,934,462	1.9 %	16,376,870
10	Mexico	128,932,753	1.7 %	1,943,950
11	Japan	126,476,461	1.6 %	364,555
12	Ethiopia	114,963,588	1.5 %	1,000,000
13	Philippines	109,581,078	1.4 %	298,170
14	Egypt	102,334,404	1.3 %	995,450
15	Vietnam	97,338,579	1.2 %	310,070
16	DR Congo	89,561,403	1.1 %	2,267,050
17	Turkey	84,339,067	1.1 %	769,630
18	Iran	83,992,949	1.1 %	1,628,550
19	Germany	83,783,942	1.1 %	348,560
20	Thailand	69,799,978	0.9 %	510,890
21	United Kingdom	67,886,011	0.9 %	241,930
22	France	65,273,511	0.8 %	547,557
23	Italy	60,461,826	0.8 %	294,140
24	Tanzania	59,734,218	0.8 %	885,800
25	South Africa	59,308,690	0.8 %	1,213,090
26	Myanmar	54,409,800	0.7 %	653,290
27	Kenya	53,771,296	0.7 %	569,140
28	South Korea	51,269,185	0.7 %	97,230
29	Colombia	50,882,891	0.7 %	1,109,500
30	Spain	46,754,778	0.6 %	498,800
31	Uganda	45,741,007	0.6 %	199,810
32	Argentina	45,195,774	0.6 %	2,736,690
33	Algeria	43,851,044	0.6 %	2,381,740
34	Sudan	43,849,260	0.6 %	1,765,048
35	Ukraine	43,733,762	0.6 %	579,320
36	Iraq	40,222,493	0.5 %	434,320
37	Afghanistan	38,928,346	0.5 %	652,860
38	Poland	37,846,611	0.5 %	306,230
39	Canada	37,742,154	0.5 %	9,093,510
40	Morocco	36,910,560	0.5 %	446,300
41	Saudi Arabia	34,813,871	0.4 %	2,149,690
42	Uzbekistan	33,469,203	0.4 %	425,400
43	Peru	32,971,854	0.4 %	1,280,000
44	Angola	32,866,272	0.4 %	1,246,700
45	Malaysia	32,365,999	0.4 %	328,550
46	Mozambique	31,255,435	0.4 %	786,380
47	Ghana	31,07
