1	China	1,439,323,776	18.5 %	9,388,211
2	India	1,380,004,385	17.7 %	2,973,190
3	United States	331,002,651	4.2 %	9,147,420
4	Indonesia	273,523,615	3.5 %	1,811,570
5	Pakistan	220,892,340	2.8 %	770,880
6	Brazil	212,559,417	2.7 %	8,358,140
7	Nigeria	206,139,589	2.6 %	910,770
8	Bangladesh	164,689,383	2.1 %	130,170
9	Russia	145,934,462	1.9 %	16,376,870
10	Mexico	128,932,753	1.7 %	1,943,950
11	Japan	126,476,461	1.6 %	364,555
12	Ethiopia	114,963,588	1.5 %	1,000,000
13	Philippines	109,581,078	1.4 %	298,170
14	Egypt	102,334,404	1.3 %	995,450
15	Vietnam	97,338,579	1.2 %	310,070
16	DR Congo	89,561,403	1.1 %	2,267,050
17	Turkey	84,339,067	1.1 %	769,630
18	Iran	83,992,949	1.1 %	1,628,550
19	Germany	83,783,942	1.1 %	348,560
20	Thailand	69,799,978	0.9 %	510,890
21	United Kingdom	67,886,011	0.9 %	241,930
22	France	65,273,511	0.8 %	547,557
23	Italy	60,461,826	0.8 %	294,140
24	Tanzania	59,734,218	0.8 %	885,800
25	South Africa	59,308,690	0.8 %	1,213,090
26	Myanmar	54,409,800	0.7 %	653,290
27	Kenya	53,771,296	0.7 %	569,140
28	South Korea	51,269,185	0.7 %	97,230
29	Colombia	50,882,891	0.7 %	1,109,500
30	Spain	46,754,778	0.6 %	498,800
31	Uganda	45,741,007	0.6 %	199,810
32	Argentina	45,195,774	0.6 %	2,736,690
33	Algeria	43,851,044	0.6 %	2,381,740
34	Sudan	43,849,260	0.6 %	1,765,048
35	Ukraine	43,733,762	0.6 %	579,320
36	Iraq	40,222,493	0.5 %	434,320
37	Afghanistan	38,928,346	0.5 %	652,860
38	Poland	37,846,611	0.5 %	306,230
39	Canada	37,742,154	0.5 %	9,093,510
40	Morocco	36,910,560	0.5 %	446,300
41	Saudi Arabia	34,813,871	0.4 %	2,149,690
42	Uzbekistan	33,469,203	0.4 %	425,400
43	Peru	32,971,854	0.4 %	1,280,000
44	Angola	32,866,272	0.4 %	1,246,700
45	Malaysia	32,365,999	0.4 %	328,550
46	Mozambique	31,255,435	0.4 %	786,380
47	Ghana	31,072,940	0.4 %	227,540
48	Yemen	29,825,964	0.4 %	527,970
49	Nepal	29,136,808	0.4 %	143,350
50	Venezuela	28,435,940	0.4 %	882,050
51	Madagascar	27,691,018	0.4 %	581,795
52	Cameroon	26,545,863	0.3 %	472,710
53	Côte d'Ivoire	26,378,274	0.3 %	318,000
54	North Korea	25,778,816	0.3 %	120,410
55	Australia	25,499,884	0.3 %	7,682,300
56	Niger	24,206,644	0.3 %	1,266,700
57	Sri Lanka	21,413,249	0.3 %	62,710
58	Burkina Faso	20,903,273	0.3 %	273,600
59	Mali	20,250,833	0.3 %	1,220,190
60	Romania	19,237,691	0.2 %	230,170
61	Malawi	19,129,952	0.2 %	94,280
62	Chile	19,116,201	0.2 %	743,532
63	Kazakhstan	18,776,707	0.2 %	2,699,700
64	Zambia	18,383,955	0.2 %	743,390
65	Guatemala	17,915,568	0.2 %	107,160
66	Ecuador	17,643,054	0.2 %	248,360
67	Syria	17,500,658	0.2 %	183,630
68	Netherlands	17,134,872	0.2 %	33,720
69	Senegal	16,743,927	0.2 %	192,530
70	Cambodia	16,718,965	0.2 %	176,520
71	Chad	16,425,864	0.2 %	1,259,200
72	Somalia	15,893,222	0.2 %	627,340
73	Zimbabwe	14,862,924	0.2 %	386,850
74	Guinea	13,132,795	0.2 %	245,720
75	Rwanda	12,952,218	0.2 %	24,670
76	Benin	12,123,200	0.2 %	112,760
77	Burundi	11,890,784	0.2 %	25,680
78	Tunisia	11,818,619	0.2 %	155,360
79	Bolivia	11,673,021	0.1 %	1,083,300
80	Belgium	11,589,623	0.1 %	30,280
81	Haiti	11,402,528	0.1 %	27,560
82	Cuba	11,326,616	0.1 %	106,440
83	South Sudan	11,193,725	0.1 %	610,952
84	Dominican Republic	10,847,910	0.1 %	48,320
85	Czech Republic (Czechia)	10,708,981	0.1 %	77,240
86	Greece	10,423,054	0.1 %	128,900
87	Jordan	10,203,134	0.1 %	88,780
88	Portugal	10,196,709	0.1 %	91,590
89	Azerbaijan	10,139,177	0.1 %	82,658
90	Sweden	10,099,265	0.1 %	410,340
91	Honduras	9,904,607	0.1 %	111,890
92	United Arab Emirates	9,890,402	0.1 %	83,600
93	Hungary	9,660,351	0.1 %	90,530
94	Tajikistan	9,537,645	0.1 %	139,960
95	Belarus	9,449,323	0.1 %	202,910
96	Austria	9,006,398	0.1 %	82,409
97	Papua New Guinea	8,947,024	0.1 %	452,860
98	Serbia	8,737,371	0.1 %	87,460
99	Israel	8,655,535	0.1 %	21,640
100	Switzerland	8,654,622	0.1 %	39,516
101	Togo	8,278,724	0.1 %	54,390
102	Sierra Leone	7,976,983	0.1 %	72,180
103	Laos	7,275,560	0.1 %	230,800
104	Paraguay	7,132,538	0.1 %	397,300
105	Bulgaria	6,948,445	0.1 %	108,560
106	Libya	6,871,292	0.1 %	1,759,540
107	Lebanon	6,825,445	0.1 %	10,230
108	Nicaragua	6,624,554	0.1 %	120,340
109	Kyrgyzstan	6,524,195	0.1 %	191,800
110	El Salvador	6,486,205	0.1 %	20,720
111	Turkmenistan	6,031,200	0.1 %	469,930
112	Singapore	5,850,342	0.1 %	700
113	Denmark	5,792,202	0.1 %	42,430
114	Finland	5,540,720	0.1 %	303,890
115	Congo	5,518,087	0.1 %	341,500
116	Slovakia	5,459,642	0.1 %	48,088
117	Norway	5,421,241	0.1 %	365,268
118	Oman	5,106,626	0.1 %	309,500
119	State of Palestine	5,101,414	0.1 %	6,020
120	Costa Rica	5,094,118	0.1 %	51,060
121	Liberia	5,057,681	0.1 %	96,320
122	Ireland	4,937,786	0.1 %	68,890
123	Central African Republic	4,829,767	0.1 %	622,980
124	New Zealand	4,822,233	0.1 %	263,310
125	Mauritania	4,649,658	0.1 %	1,030,700
126	Panama	4,314,767	0.1 %	74,340
127	Kuwait	4,270,571	0.1 %	17,820
128	Croatia	4,105,267	0.1 %	55,960
129	Moldova	4,033,963	0.1 %	32,850
130	Georgia	3,989,167	0.1 %	69,490
131	Eritrea	3,546,421	0 %	101,000
132	Uruguay	3,473,730	0 %	175,020
133	Bosnia and Herzegovina	3,280,819	0 %	51,000
134	Mongolia	3,278,290	0 %	1,553,560
135	Armenia	2,963,243	0 %	28,470
136	Jamaica	2,961,167	0 %	10,830
137	Qatar	2,881,053	0 %	11,610
138	Albania	2,877,797	0 %	27,400
139	Lithuania	2,722,289	0 %	62,674
140	Namibia	2,540,905	0 %	823,290
141	Gambia	2,416,668	0 %	10,120
142	Botswana	2,351,627	0 %	566,730
143	Gabon	2,225,734	0 %	257,670
144	Lesotho	2,142,249	0 %	30,360
145	North Macedonia	2,083,374	0 %	25,220
146	Slovenia	2,078,938	0 %	20,140
147	Guinea-Bissau	1,968,001	0 %	28,120
148	Latvia	1,886,198	0 %	62,200
149	Bahrain	1,701,575	0 %	760
150	Equatorial Guinea	1,402,985	0 %	28,050
151	Trinidad and Tobago	1,399,488	0 %	5,130
152	Estonia	1,326,535	0 %	42,390
153	Timor-Leste	1,318,445	0 %	14,870
154	Mauritius	1,271,768	0 %	2,030
155	Cyprus	1,207,359	0 %	9,240
156	Eswatini	1,160,164	0 %	17,200
157	Djibouti	988,000	0 %	23,180
158	Fiji	896,445	0 %	18,270
159	Comoros	869,601	0 %	1,861
160	Guyana	786,552	0 %	196,850
161	Bhutan	771,608	0 %	38,117
162	Solomon Islands	686,884	0 %	27,990
163	Montenegro	628,066	0 %	13,450
164	Luxembourg	625,978	0 %	2,590
165	Suriname	586,632	0 %	156,000
166	Cabo Verde	555,987	0 %	4,030
167	Maldives	540,544	0 %	300
168	Malta	441,543	0 %	320
169	Brunei	437,479	0 %	5,270
170	Belize	397,628	0 %	22,810
171	Bahamas	393,244	0 %	10,010
172	Iceland	341,243	0 %	100,250
173	Vanuatu	307,145	0 %	12,190
